Singapore	Singapore	DHL	20,50,100,100	0.35,0.45,0.75,1.00	0,1,2,3,4,5,6	1
Singapore	Malaysia	DHL	20,50,100,100	0.45,0.55,0.85,1.00	0,2,3,5	1
Singapore	USA	DHL	20,50,100,100	0.60,0.75,1.00,5.00	1,2,4,5	5
Singapore	Singapore	Fedex	20,50,100,100	0.35,0.45,0.75,1.00	0,1,2,3,4,5,6	1
Singapore	Malaysia	Fedex	20,50,100,100	0.35,0.45,0.75,1.00	0,1,3,6	2
Singapore	USA	Fedex	20,50,100,100	0.60,0.75,1.00,4.00	1,2,5,6	4
Singapore	Singapore	SpeedPost	20,50,100,100	0.35,0.45,0.75,1.00	0,1,2,3,4,5,6	1
Singapore	Malaysia	SpeedPost	20,50,100,100	0.35,0.50,0.80,1.00	0,2,3,5	1
Singapore	USA	SpeedPost	20,50,100,100	0.60,0.75,3.00,6.00	1,2,4,6	4
Malaysia	Malaysia	DHL	20,50,100,100	0.35,0.45,0.75,1.00	0,1,2,3,4,5,6	1
Malaysia	Singapore	DHL	20,50,100,100	0.55,0.60,0.75,1.00	0,2,3,5	2
Malaysia	USA	DHL	20,50,100,100	0.60,0.75,1.00,5.00	1,2,4,5	5
Malaysia	Malaysia	Fedex	20,50,100,100	0.35,0.45,0.75,1.00	0,1,2,3,4,5,6	1
Malaysia	Singapore	Fedex	20,50,100,100	0.55,0.50,0.75,1.00	0,1,3,6	2
Malaysia	USA	Fedex	20,50,100,100	0.50,0.85,1.10,4.00	1,2,5,6	7
Malaysia	Malaysia	SpeedPost	20,50,100,100	0.30,0.45,0.75,1.00	0,1,2,3,4,5,6	1
Malaysia	Singapore	SpeedPost	20,50,100,100	0.45,0.55,0.85,1.00	0,2,3,5	2
Malaysia	USA	SpeedPost	20,50,100,100	0.50,0.85,1.10,4.50	1,2,4,6	6
USA	USA	DHL	20,50,100,100	0.45,0.55,0.85,1.00	0,1,2,3,4,5,6	1
USA	Singapore	DHL	20,50,100,100	0.65,0.70,0.75,4.00	0,2,3,5	4
USA	Malaysia	DHL	20,50,100,100	0.50,0.85,2.00,4.00	1,2,4,5	5
USA	USA	FedEx	20,50,100,100	0.45,0.65,0.85,1.00	0,1,2,3,4,5,6	1
USA	Singapore	FedEx	20,50,100,100	0.65,0.80,0.95,3.00	0,1,3,6	5
USA	Malaysia	FedEx	20,50,100,100	0.65,0.85,1.00,4.00	1,2,5,6	4
USA	USA	SpeedPost	20,50,100,100	0.45,0.55,0.85,1.00	0,1,2,3,4,5,6	1
USA	Singapore	SpeedPost	20,50,100,100	0.55,0.80,2.00,4.00	0,2,3,5	5
USA	Malaysia	SpeedPost	20,50,100,100	0.50,0.85,2.00,4.00	1,2,4,6	5
